Relatos,Relatos_Traduzidos
" As expectativas tornam-se altas a cada explicação e exercícios repassados, é um ensino diferente do que nós estamos acostumados, também pode levar um pouco de tempo para o aprendizado e a prática, mas estamos aqui pra viver novas experiências e dar sempre o melhor de se pra conseguir desenvolver bem nesse novo método de ensino.","Expectations become high with each explanation and exercises passed, it is a different teaching than we are accustomed, can also take a little time for learning and practice, but we are here to live new experiences and always give the bestIf to be able to develop well in this new teaching method."
"Minhas expectativas são muitos boas, e sei que me darei muito bem. Não é a mesma coisa que presencial, tirando isso está tudo ótimo!","My expectations are very good, and I know I'll give myself very well.It's not the same as face-to-face, taking it all great!"
"O ensino remoto é um pouco complicado pois nem todo mundo tem acesso a internet de boa qualidade, os mesmos muitas vezes não sabem usar os meios de comunicação com professores e mestres que precisam trocar informações e extrair o melhor daqueles de ali estão ali para aprender... 
Devido aos novos tempos devemos se adaptar aos meios de comunicação como o classroom e ao google meet que são os meios mais utilizados para o contato do professor com o aluno. com um futuro próximo espero que as vacinas cheguem aos alunos e professores com mais rapidez e que as coisas voltem as normalidades.","Remote education is a bit complicated because not everyone has good quality Internet access, they often do not know how to use the media with teachers and teachers who need to exchange information and extract the best of those from there are there to learn...
Due to the new times we should adapt to the media as classroom and Google Meet that are the most commonly used means for the teacher's contact with the student.With a near future I hope the vaccines reach students and teachers faster and that things come back to normal."
"Diante da situação atual em que vivemos, o ensino remoto tornou-se mais que uma opção, mas sim uma imposição. Infelizmente somos direcionados a essa forma de ensino como única maneira de desenvolver nosso aprendizado nesse período. Prós e contras farão parte do dia-a-dia, os imprevistos, o desvio da atenção, a dificuldade em tirar dúvidas, mas também teremos o desenvolvimento da nossa capacidade de lidar com as tecnologias nesse tempo. Esperamos que seja um período breve e transitório que represente a marca e a força de vontade dos estudantes de continuar buscando um futuro mesmo em meio a um tempo de pandemia.","Faced with the current situation in which we live, remote teaching has become more than an option, but an imposition.Unfortunately we are directed at this form of teaching as the only way to develop our learning in this period.Pros and Cons will part of the day-to-day, the unforeseen, the deviation of attention, the difficulty in taking doubts, but we will also have the development of our ability to deal with technologies at that time.We hope it is a brief and transitory period that represents the brand and the willpower of the students to continue seeking a future even in the midst of a time of pandemic."
Um pouco apreensivo e um pouco preocupado...,A bit apprehensive and a little worried ...
"Dentre as minhas expectativas estão o aprendizado onde espero uma facilidade de compreensão,acesso as aulas remotas e realização de atividades, além da melhor fluidez possível de ensino dos professores aos alunos, juntamente com a ajuda através de seu suporte com fins de ajudar aos alunos na realização de ","Among my expectations are the learning where I expect an ease of understanding, access to remote classes and activities, in addition to the best possible teaching fluidity of teachers to students, together with the help through their support for students inaccomplishment of"
"Acredito que como sou da área de TI, o ensino remoto não será tão debilitante, então tenho ótimas expectativas e estou bastante empolgado com o curso, mas preferia aula presencial obviamente como a grande maioria. Acredito que o IF possui profissionais preparados para lidar com o ensino remoto e tenho ótimas expectativas para as aulas.","I believe that as I am from the IT area, remote teaching will not be so debilitating, so I have great expectations and I am quite excited about the course, but preferred classroom class of obviously like the vast majority.I believe that IF has professionals prepared to deal with remote education and have great expectations for classes."
"Já estou ambientado ao ensino remoto, pois cursei a maioria do meu terceiro ano do ensino médio nesse formato. Sinto que a carga de responsabilidade sobre o aluno nesse formato seja ainda maior do que no formato presencial, pois é exigido do aluno mais responsabilidade tanto na atenção às aulas por videoconferência como nas atividades passadas pelo professor. Minha expectativa é que as atividades não presencias sejam o mais breve possível e que quando forem utilizadas sejam por escolha e não como única opção viável em decorrência do cenário pandêmico.","I am already set to remote education, because I attended the majority of my third year of high school in this format.I feel that the responsibility load on the student in this format is even greater than in the face-to-face format, since it is required of the student more responsibility in both attention to videoconferencing classes as in the activities passed by by the teacher.My expectation is that non-presence activities are as soon as possible and that when they are used to be by choice and not as a single viable option as a result of the pandemic scenario."
Eu espero conseguir aprender o máximo que eu puder com esse novo ensino digital ,I hope to learn as much as I can with this new digital teaching
"Para o ano letivo de 2021, apesar de ainda estarmos utilizando o ensino remoto devido a pandemia de Covid-19, eu espero aprender muitas coisas novas tanto na área do meu curso quanto na área de conhecimentos gerais.
      Sei que se me esforçar posso aprender no ensino remoto tanto quanto aprendi no ensino presencial, espero conhecer melhor e fazer amizade com meu novos colegas e assim, fazer de 2021 um ano letivo tão bom quanto os anteriores.
","For the 2021 school year, although we are still using remote education because of Covid-19 pandemic, I hope to learn many new things both in the area of my course and in the area of general knowledge.
      I know that if I strive I can learn in remote education as much as I have learned in the face-to-face teaching, I hope to get to know better and make friends with my new colleagues and so, make 2021 a school year as good as the previous ones."
"Espero aprender muito,para exercer a minha profissão.as atividades se tornam mais difícil,pois não tem a presença de um professor para tirar todas as suas dúvidas.","I hope to learn a lot, to exercise my profession. The activities become more difficult because it does not have the presence of a teacher to take all your doubts."
"Espero q seja fácil, pq tem muitos professores q coloca muita atividade e as vezes não dar para fazer tudo em só um dia. Q as aulas sejam boas.","I hope it's easy, because there are many teachers who put a lot of activity and sometimes I can not do everything in just one day.Q Classes are good."
"       Para mim, não é fácil o ensino a distância, pois não se pode comparar ao ensino presencial em que o professor estará lá com você para te ensinar, te guiar e tirar todas as suas dúvidas no mesmo momento sem ter que enfrentar possíveis problemas com o funcionamento da internet.
     Apenas espero que mesmo com todas as dificuldades que se desenvolverão ao logo do período de aulas remotas, possamos todos nós alunos e professores progredirmos ainda mais com o passar do tempo! Aprender uns com os outros, respeitar as nossas diferenças que nos tornam únicos e sempre nos ajudarmos no que que for preciso.","For me, no distance teaching is not easy because it can not be compared to face-to-face teaching in which the teacher will be there with you to teach you, guide you and take all your doubts at the same time without having to face possible problems withInternet operation.
     I just hope that even with all the difficulties that will develop to the Logo of the Remote Time, we all have students and teachers to progress even more with the passage of time!Learn from each other, respect our differences that make us unique and always help us in whatever it takes."
"O ensino remoto tem sido bastante importante nesse período pois está nos permitindo dar continuidade aos estudos, porém não está sendo tão proveitoso, pois em casa fica muito complicado de manter o foco e participar ativamente das aulas.","Remote teaching has been quite important in this period because it is allowing us to continue studies, but it is not being as profitable, because at home it is very complicated to maintain focus and actively participate in class."
"Quanto ao ensino remoto, visto que uma boa parte do curso é voltada para o desenvolvimento de programas e o uso de dispositivos eletrônicos, tenho expectativa de que o curso apesar de distante ainda possa oferecer uma grande capacidade de aprendizado e não se torne muito difícil a obtenção dos conhecimentos necessários para o desenvolvimento como estudante.","As for remote education, since a good part of the course is focused on the development of programs and the use of electronic devices, I have anticipation that the course although distant can still offer a great learning capacity and does not become very difficult toobtaining the knowledge required for development as a student."
"Como um aluno recém concluinte de um ensino médio que foi interrompido pela quarentena e reformulado de forma forçada ao ensino remoto, eu entendo que a modalidade tem limitações especialmente pela falta de maior preparação dos professores (que foram tão prejudicados quanto os alunos), falta de uma socialização mais física e problemas de adaptação do espaço de estudo. Em vista desses problemas, espero uma maior organização quanto ao fluxo de atividades e metodologias, que ao meu ver, devem ser sim reavaliadas para o melhor entendimento do aluno nessa modalidade de ensino e para evitar uma sobrecarga. Além disso, espero também uma relação mais empática entre professores e alunos, vinda de ambos os lados, com um entendimento dos problemas que cada um enfrenta. Minha opinião sobre a modalidade, no geral, é que apesar do ensino remoto ter certas vantagens, o ensino presencial ainda é ideal para esse tipo de curso. Porém, o ensino presencial NÃO deve ser reaplicado até a garantia de segurança de todos.","As a newly completed student of a high school that was interrupted by quarantine and forced to be forced to remote education, I understand that the modality has limitations especially for the lack of greater preparation of teachers (who were as harmed as students), lack of a more physical socialization and problems of adapting study space. In view of these problems, I expect a greater organization regarding the flow of activities and methodologies, which in my view should be reassessed for the best understanding of the student in this teaching modality and to avoid an overload. In addition, I also expect a more empathical relationship between teachers and students, coming from both sides, with an understanding of the problems each one faces. My opinion on the modality, in general, is that despite remote education having certain advantages, face-to-face teaching is still ideal for this type of course. However, face-to-face teaching should not be reapplied until the security guarantee of all."
"       Estamos vivenciando este período remoto desde o ano passado, com muita dificuldade por conta das diversas ferramentas e principalmente a falha na internet que tira nossa paciência e ainda traz estresse. Portanto, devemos ter calma porque é a única forma que possuímos para estudar e com a ajudar de nossos colegas e dos professores vamos chegar ao término desse curso.
      Ao terminar esse curso espero ter obtido muitos conhecimentos e habilidades para da melhor forma repassar aos meus futuros alunos e contribuir no que for preciso com meus colegas futuros professores.","We are experiencing this remote period since last year, with great difficulty because of the various tools and especially the Internet failure that takes our patience and still brings stress.Therefore, we must be calm because it is the only way we have to study and with the help of our colleagues and teachers we will reach the end of this course.
      By finishing this course I hope I have obtained many skills and skills for the best way to pass on to my future students and contribute in what I need with my future teachers colleagues."
"  Eu procuro manter minhas expectativas altas, penso que em meio a uma pandemia o ensino a distância seja o mais adequado, pois mesmo que não se compare as aulas presenciais, sabemos que este é sim um meio de ensino eficaz.
   Para ser sincero tenho certas dificuldades com o ensino a distância , pois muitas das vezes o ambiente de sala de aula nos traz um conforto, e uma proximidade maior com os alunos e professores,  por exemplo quando queremos tirar alguma dúvida, e me sinto um pouco inseguro de perguntar,mesmo que seja para esclarecer tal questão.
","I try to keep my expectations high, I think that in the midst of a pandemic distance teaching is the most appropriate, because even if visiting classes are not compared, we know that this is a means of effective teaching.
   To be honest I have certain difficulties with distance learning, because many times the classroom environment brings us comfort, and a greater proximity with students and teachers, for example when we want to take any questions, and I feel a littleinsecure to ask, even if it is to clarify such a question."
       É evidente que estamos em meio a tempos muito difíceis. Porém nada é impossível. Posso e irei me esforçar o máximo para conseguir conquistar os meus objetivos. Embora as aulas remotas sejam difíceis estarei dando o meu melhor para aprender cada vez mais.,It is evident that we are in the midst of very difficult times.But nothing is impossible.I can and I will try the maximum to achieve my goals.Although remote lessons are difficult I will be giving my best to learn more and more.
"Espero conseguir aprender tudo que for transmitido pelas as aulas remotas, sei que não será fácil essa adaptação para um novo modelo de aprendizado, já que o contato entre aluno e professor foi muito afetado por falta de aulas presenciais. Além da impossibilidade de ter aulas como desenho técnico que necessita ser presencial, mas acredito que os professores e todos envolvidos vão fazer tudo que puder para facilitar essa adaptação.
   Contudo, anseio que aulas híbridas não sejam uma opção válida para ser executada nessa ocasião, pois como eu tem alunos que não residem em cajazeiras, por isso gastaria muito nas idas até o campus, ou teriam que passar a alugar casas na cidade e contratar provedores de internet para conseguir ter acesso a todas as aulas que precisa.
   A vacina apresenta-se como a melhor solução por enquanto, se faz necessário que todos sejam vacinados para que possamos voltar as aulas presenciais, uma vez que precisamos acesso ao campus, já que nem todos possuir equipamentos necessários como computadores, livros e internet em casa. Alguns assim como eu existe vários alunos que se jogaram de cara em cursos como engenharia de controle e automação, sem ter recursos suficiente em casa, mas buscando um futuro melhor pra si.
","I hope to be able to learn everything that is transmitted by the remote classes, I know that this adaptation will not be easy for a new learning model, since the contact between student and teacher was very affected for lack of face-to-face classes. In addition to the impossibility of taking classes as a technical drawing it needs to be face-to-face, but I believe that teachers and everyone involved will do everything he can to facilitate this adaptation.
However, I long for hybrid classes are not a valid option to be executed on this occasion, because as I have students who do not reside in cashazeiras, so I would spend a lot on the trips up to the campus, or would have to spend rentals in the city and hire providers to get access to all the lessons you need.
The vaccine presents itself as the best solution for now, if it is necessary that everyone will be vaccinated so that we can return to face-to-face less, since we need access to campus, since not everyone has necessary equipment such as computers, books and home internet . Some just like I have several students who played face in courses like control and automation engineering, without having enough resources at home, but seeking a better future for themselves."
"Tenho experiências com o ensino remoto, cursei o 3° ano do ensino medio online, fiz também cursinhos extra curriculares fora da instituição onde cursei o ensino medio","I have experiences with remote education, I curse the 3rd year of middle school online, I also made extra curricular courses outside the institution where I curse the medium teaching"
"Devido a pandemia que todo o planeta vem passando, o ensino remoto veio como uma ferramenta de combate ao atraso que o fechamento das escolas causa. As expectativas de poder usufruir dessa modalidade são boas, pois é possível aprender em um momento tão difícil onde temos que nos adequar a essa nova realidade.","Due to the pandemic that the whole planet has been passing, remote teaching came as a tool to combat the delay that the closing of the schools causes.Expectations to be able to enjoy this modality are good because it is possible to learn in such a difficult time where we have to adapt to this new reality."
"Na minha visão podemos absolver uma boa aprendizagem pelo ensino remoto, não tendo comparação a respeito das aulas presenciais, mas tenho expectativa de conseguir um bom rendimento com esse tipo de ensino. ","In my vision we can absolve good learning by remote education, having no comparison regarding face-to-face classes, but I have an expectation of getting a good income with this type of teaching."
"A aulas não precenciais são um desafio para todo estudante além de ser desmotivador mesmo tendo toda uma estrutura para a comunicação,ainda a grande dificuldades para tal, deixando passar as esperiencias de ser um universitário a vivência de cada dia, conhecer professores,colegas, salas e Campus todo uma experiência reduzida a telas virtuais que nós deixa desmotivados.","Non-precious classes are a challenge for every student besides being demotivating even though having a whole structure for communication, still the great difficulties for this, letting the hope of being a university the experience of each day, meet teachers, colleagues,and campuses a whole experience reduced to virtual screens that we leave unmotivated."
"Já tive experiência com o ensino remoto em outras escolas então a primeiro momento não achei que teria mais coisas para se aprender sobre o mesmo, porém dentro do IFPB pude aproveitar de novas ferramentas e uma maior organização em relação as turmas e por conta disso a ambientação foi de grande ajuda, principalmente por ter feito a matrícula meio encima da hora e tendo em vista tudo isso que ocorreu ate agora tenho altas expectativas em relação ao ensino síncrono remoto.","I have already had experience with remote education in other schools so the first moment I did not think it would have more things to learn about the same, but within the IFPB I could take advantage of new tools and a greater organization in relation to classes and on account ofIt was of great help, mainly because I have made the half registration of the hour and in view of all that happened so far I have high expectations regarding remote synchronous teaching."
"Eu espero que vou te logo as aula pendências mais as aula remota e bem fácil de faze , tabem espero que eu aprendo muita coisa nessas aula ","I hope I'm going to you Logo Pendencies more Remote class and very easy to do, Tabem I hope I learn a lot in these class"
"Espero que eu consiga compreender o conteúdo sem muita dificuldade, e apresentar bom desempenho em relação as aulas e as avaliações, também espero que os professores possam auxiliar nas dúvidas relacionadas as disciplinas disponibilizando matérias como apostilas, vídeo aulas gravadas etc ","I hope I can understand the content without much difficulty, and present good performance in relation to classes and evaluations, I also hope that teachers can assist in doubts related to disciplines making matters such as handouts, video classes recorded etc."
"Pela a experiência com o ensino remoto, acredito que a maior dificuldade são as aulas práticas, pois fica complicado apenas ter a teórica sem praticar.","By the experience with remote education, I believe that the greatest difficulty are practical classes, because it is complicated only to have theoretical without practicing."
"Proucuro aprender o máximo na medida do possivel com a EAD, mas, tenho certeza que as aulas presenciais são de suma importância para o meu curso, por isso, espero que voltem o mais rápido possivel (com toda segurança).","Proucuro learn the maximum as possible with the EAD, but, I am sure that the face-to-face classes are of paramount importance to my course, so I hope they return as soon as possible (with all security)."
"Não sou muito a favor Não ensino remoto, pois não aprendemos o suficiente ","I am not much in favor of remote education, because we have not learned enough"
"A expectativa para o ensino remoto é que, mesmo de longe, o ensino seja de mesma qualidade e que tenhamos o mesmo apoio dos professores como seria se estivessemos podendo ter contato pessoalmente. Além do prazer de estudar nesse campus tão maravilhoso, tanto em estrutura como em corpo docente, administratio etc. ","Expectation for remote education is that even from afar, teaching is of the same quality and that we have the same support as teachers as it would be if we can have contact personally.Besides the pleasure of studying on this wonderful campus, both in structure and in faculty, administratio etc."
Minha expectativa é que as aulas sejam ricas e esclarecedoras para que não sejamos prejudicados com a pratica de ensino remoto.,My expectation is that classes are rich and enlightening that we are not harmed with the practition of remote.
Que consiga repassar bem os conteúdos e a experiência de aula,That can pass well the contents and class experience well
"As expectativas é que o ensino remoto possua o máximo de aproveitamento, que sejam utilizados métodos eficazes, que facilitem a interação e o desenvolvimento. ","Expectations is that remote teaching has maximum use, which are used effective methods, which facilitate interaction and development."
"Espero conseguir aprender mais do que o ano passado, as aulas remotas são realmente problemáticas","I hope to learn more than last year, remote lessons are really problematic"
"As atividades remotas, são justificáveis em meio a pandemia, mas o conhecimento adquirido nem se compara a forma presencial, se tornando um pouco ""ineficaz"" em minha opinião, mas uma das únicas alternativas, visando não atrasarmos nosso período letivo","Remote activities are justifiable amid the pandemic, but knowledge acquired or compare the face-to-face form, becoming a little ""ineffective"" in my opinion, but one of the only alternatives, aiming not to delay our school period"
"me sinto prejudicado pelo fato de minha internet ser de baixa qualidade, além de não possuir um aparelho de computador que facilitaria bastante o meu estudo, de forma que teria mais facilidade nas aulas e atividades remotas.","I feel harmed by the fact that my internet is low quality, besides not having a computer device that would greatly facilitate my study, so it would have more easily in the classes and remote activities."
É bom mas ao mesmo tempo é desconfortável pois não é a mesma coisa de presencial,It's good but at the same time it's uncomfortable because it's not the same face-to-face
Acredito que na situação em que estamos passando no momento o instituto está desenvolvendo bem sua atividade não presencial. Só acredito que alguns professores poderiam ser ensinados de como melhor usar a ferramenta de aula síncrona e também seguir de forma mais fiel o horário acadêmico dos momentos síncronos.,I believe that in the situation in which we are now passing the Institute is developing well its non-face-to-face activity.I only believe that some teachers could be taught how best to use the synchronous class tool and also follow the academic time of synchronous moments more faithfully.
Espero que todos nós nos adaptemos à esse tipo de ensino e que possamos desfrutar das disciplinas tanto quanto iríamos com o ensino presencial.,I hope we all adapt to this type of teaching and that we can enjoy the disciplines as much as we would go with face-to-face teaching.
"Eu espero aprender e ser aprovada com excelência no curso, pois isso me abrirá muitas portas para meu futuro. Em relação as aulas on-line eu as acho pouco proveitosas levando em consideração que a maioria dos alunos vieram de escolas públicas e não tiveram uma base muito boa para algumas disciplinas.","I hope to learn and be approved with excellence in the course, for this will open me many doors for my future.In relation to online classes I find them poorly leading into consideration that most students came from public schools and did not have a very good base for some disciplines."
"Minha expectativa é de que eu possa aprender mais, e passar a ter mais conhecimento sobre assuntos que já vi, e de assuntos que irei ver, sendo assim, tornar um pouco o aprendizado parecido com o presencial. ","My expectation is that I can learn more, and to have more knowledge about subjects I have ever seen, and of matters that I will see, thus make learning a little like the face-to-face."
"Durante o tempo de pandemia, ficou uma pouco complicado em quanto ao ensino remoto, atividades de ensino não presenciais, mas a cada dia nós em quanto alunos e também aos professores, aprendemos um pouco mais de como utilizar os novos meios de estudar virtualmente, como o classrom, meet e tantos outros meios de comunicação. Em quanto as minhas expectativas, espero continuar aprendendo todos dias os novos assuntos, que os professores vem nos enviando, e também ao longo do ano.","During the time of pandemic, it was a bit complicated as for remote education, non-face-to-face teaching activities, but every day we at how much students and teachers, learned a little more about how to use the new means of studying virtually, asClassrom, Meet and so many other media.As for my expectations, I hope to continue learning every day the new issues, which teachers are sending us, and also throughout the year."
"O ano passado estudado também pelo ensino remoto, fez eu, particularmente, aprender a usar as ferramentas necessárias para o ensino da IFPB. Pensei que teria mais dificuldades em me adaptar com a quantidade de matérias e o modo como seria aplicado os assuntos, mas ao decorrer das aulas e das explicações vi que não tem muita dificuldade. Já estou acostumada com o modo e o método de ensino remoto, mas será melhor quando se encontrarmos pessoalmente.","Last year studied also by remote education, made me, in particular, learn how to use the tools required for IFPB teaching.I thought I would have more difficult to adapt with the amount of matters and how the subjects would be applied, but in the course of classes and explanations I saw that there is not much difficulty.I'm already accustomed to the mode and the remote teaching method, but it will be better when we meet personally."
"Eu espero que no ensino remoto eu consiga me adaptar, assistindo todas as aulas, estudando diariamente e que não sofra um impacto tão grande nesse novo estilo de ensino, que eu consiga me sentir confortável em relação a todos os assuntos, pois daria meu máximo para que futuramente me torne um excelente profissional.","I hope that in remote education I can adapt, watching all classes, studying daily and that it does not suffer such a great impact on this new teaching style, which I can feel comfortable in relation to all matters, because it would give my fullThat in the future make me an excellent professional."
"O ensino remoto é muito difícil para as pessoas que não tem acesso a internet, como eu. É muito difícil entender os assuntos pela aula remota, fica muito complicado. Mais espero que consiga entender.","Remote teaching is very difficult for people who do not have access to the internet, like me.It is very difficult to understand the subjects by the remote class, it is very complicated.But I hope you can understand."
" Em primeiro plano o ensino remoto parece ser mais simples, prático e até melhor que o ensino comum, porém ao longo do tempo percebe-se que não substitui completamente a experiência do ensino presencial, principalmente das atividades práticas que ficam prejudicadas. Apesar disso a expectativa que tenho é de me adaptar rápido,ter aulas interessantes e atividades mais simples. Torço para votar em breve ao ensino tradicional.","In the foreground remote education seems to be simpler, practical and even better than common education, but over time it is noticed that it does not completely replace the experience of face-to-face education, especially the practical activities that are impaired.Despite this the expectation I have is to adapt quickly, have interesting lessons and simpler activities.I hope to vote soon to traditional teaching."
"   Possuo expectativas que eu consiga enviar as atividades pedidas de forma correta e que consiga aprender sobre o assunto, mas não possuo expectativas que eu consiga participar de algum projeto de extensão por hora. 
   Quanto a minha opinião sobre o EAD acho que é a nossa única escolha para voltar aos ensinos de forma segura e distante, então ele é importante. 
   Já quanto as atividades não presenciais sinto como algum importante para se fazer para auxiliar meu aprendizado mesmo em um momento tão problemático, então que eu devo fazer.","I have expectations that I can send the activities requested correctly and able to learn about it, but I do not have expectations that I can participate in some extension project per hour.
   As for my opinion about EAD I think it's our only choice to get back to the teachings in a safe and distant way, then it's important.
   As for non-face-to-face activities I feel like some important to do to assist my learning even in such a problematic moment, so that I should do."
"Antes mesmo da pandemia da Covid 19 acreditava que o ensino remoto é uma ferramenta de complementação de estudos para todos os níveis de aprendizagem, sendo um mecanismo de fortalecimento de conhecimentos do básico ao avançado. As atividades não presenciais estão sendo ministradas de uma maneira muita dinâmica, abrangendo discursões sobre os conteúdos repassados nas salas virtuais e com todo o apoio do corpo docente do instituto, contribuindo mesmo  que virtualmente para a construção de saberes. Além disso, é válido salientar que IPFB-Cajazeiras fornece diferentes setores para auxiliar os alunos em suas singularidades e necessidades, com isso as aulas tornam-se mais proveitosas.","Before Covid's pandemic 19 believed that remote education is a tool for complementing studies for all levels of learning, being a mechanism to strengthen knowledge of the basics to advanced.Non-face-to-face activities are being given a very dynamic way, covering discursions on the contents passed on in virtual rooms and with all the support of the faculty of the Institute, contributing even if virtually for the construction of knowledge.In addition, it is valid to point out that IPFB-Cajazeiras provides different sectors to assist students in their singularities and needs, with this classes become more fruitful."
"A ansiedade e expectativas são grandes em torno do Ensino Remoto, já que esse módulo é diferente da que estamos acostumado, mas esperamos aprender da mesma forma e com a mesma qualidade que o ensino presencial.","Anxiety and expectations are great around remote education, since this module is different from what we are accustomed to, but we hope to learn in the same way and with the same quality as face-to-face teaching."
"Bom, essas atividades não presenciais são extremamente importante para o nosso aprendizado, embora alguns alunos apresentem dificuldades, esse tipo de ensino é muito importante para quê a gente não fique ""atrasado"".","Well, these non-face-to-face activities are extremely important for our learning, although some students have difficulties, this type of teaching is very important for what we do not get ""late."""
"Acredito que esse ano será cheio de oportunidades como o ano passado, pretendo estudar bastante e alcançar minhas metas. Espero que essa pandemia chegue ao fim, para tudo voltar o normal. ","I believe that this year will be full of opportunities like last year, I intend to study a lot and achieve my goals.I hope this pandemic gets to the end, for everything to return to normal."
"     Bom, espero que esse ano seja um ano de muito proveito, ou seja, um ano de muito aprendizado, que eu e todos meus colegas de classe possamos  alcançar todos os nossos objetivos, espero também que posso fazer várias amizades nesse mundo escolar, mesmo sendo difícil nesse campo virtual. Meu maior desejo é que passe essa pandemia e volte as aulas presenciais, pois além do aprendizado ser muito maior do que o virtual, muitas pessoas não gostam, e tem umas que chegam até ter dificuldade, seja ela por falta de internet ou falta de aparelho. ","Well, I hope this year is a year of much profit, that is, a very learning year, that I and all my classmates can achieve all our goals, I also hope that I can make several friendships in this school world, even thoughdifficult in this virtual field.My greatest wish is that passing this pandemic and returns to face-to-face classes, because in addition to learning to be much larger than the virtual, many people do not like, and there are some who even have difficulty, be it for lack of internet or lack of device."
"essa forma remota, talvez seja um  pouco mais complicado do que  no modelo  presencial,  principalmente,  pelo o  pouco tempo  para  estudar os assuntos que  são abordados.","This remote form, perhaps is a bit more complicated than in the face-to-face model, especially for the short time to study the subjects that are addressed."
"Até o momento as aulas remotas estão sendo agradáveis e de fácil entendimento, estou conseguindo entender aquilo que é passado e completar as atividades que estão sendo passadas.","So far remote lessons are being nice and easy understanding, I can understand what is passed and complete the activities that are being passed."
"Espero ter sucesso nas minha expectativas em relação aos estudos, que as atividades sejam dentro de um tempo confortável para os alunos e professores e, por mais que hajam dificuldades, que elas não afetem o ensino remoto para quem tem disponibilidade de usá-lo.","I hope to succeed in my expectations regarding studies, which activities are within a comfortable time for students and teachers and, however much difficulties, they do not affect remote education for those who have the availability to use it."
"Bem, a modalidade de ensino remota está ajudando muito, já que nesses tempos de pandêmia estamos impossibilitados de assistir as aulas presenciais, porém, não se compara ao ensino presencial em vários fatores, como: tempo das aulas, quantidade de aulas, entre outros... Aumentando assim o número de dúvidas do aluno em relação à determinada matéria.","Well, the modality of remote education is helping a lot, since in these times of pandemia we are unable to attend the classroom classes, however, it does not compare to face-to-face teaching in several factors, such as: time of classes, number of classes, among others... thus increasing the number of student doubts in relation to the given matter."
"Não é tão complicado assim,mais está sendo um pouco difícil pois só tenho o celular pra acessar as aulas,e fica bem pesado,mais estou me adaptando ainda.","It's not so complicated, but it's being a bit difficult because I only have the cell phone to access the classes, and it gets very heavy, but I'm still adapting."
"Bom em questão as ensino remoto está sendo um coisa nova para min, por ser um coisa nova espero se adaptar a esse estilo de ensino, mas minha expectativa espero que seja uma das mais positiva possível.","Well in question remote teaching is being a new thing for min, for being a new thing I hope to adapt to this style of teaching, but my expectation I hope it is one of the most positive possible."
"     O ensino remoto está  ajudando muito durante esse período de pandemia, mas nada se compara as aulas presenciais, mas as aulas onlines estão muito bem explicadas, e sobre as aulas não presenciais é que o ambiente familiar é totalmente diferente do ambiente escolar.
    Onde tem todo um suporte pro aluno, além disso conversar sobre a matéria com os outros alunos também contribui para um melhor desenvolvimento e aprendizado do estudante.","Remote education is helping a lot during this period of pandemic, but nothing compares to face-to-face classes, but online classes are very well explained, and on non-face-to-face classes is that the family environment is totally different from the school environment.
    Where there is a whole support for the student, in addition to talking about the subject with the other students also contributes to a better development and learning of the student."
"Eu tenho boas expectativas para o ensino remoto, mas o lado ruim é que, quando assistimos aulas remotas, é bem mais fácil se distrair. E em relação às atividades, eu acho que será fácil fazê-las.","I have good expectations for remote education, but the bad side is that when we watch remote lessons, it is much easier to distract.And in relation to activities, I think it will be easy to do them."
"Indefinidas, tenho dificuldades na área da informática, minha familia não me ajuda, mas tento conseguir superar as dificuldades. A respeito das atividades, são boas em ajudar a conhecer o conteúdo com elas; sobre a modalidade de ensino acho pensante na questão de não seres presencias. Espero conseguir superar as problemáticas e conseguir me reerguer e me adaptar.","Indefinite, I have difficulties in the area of computer science, my family does not help me, but I try to overcome the difficulties.With regard to activities, they are good at helping to know the content with them;About the teaching mode I think thinking about the issue of not presence beings.I hope to get over the troubles and get me rewrite and adapt."
"Olá. Devido a situação atual que estamos presenciando, as aulas remotas foi uma solução para que a educação estudantil não ficasse escassa. Porém, isso é muito novo e difícil de lidar com a situação de está em uma sala virtual sem ter contato com os colegas e professores. Com tal modalidade isso pode gerar uma certa comodidade. 
","Hello. Due to the current situation we are witnessing, remote lessons was a solution so that student education would not be scarce.However, this is very new and difficult to deal with the situation in a virtual room without contacting colleagues and teachers.With such a modality this can generate a certain convenience."
"Eu acho que mesmo com toda a dificuldade que possa aparecer durante o ensino remoto, vai dar para aproveitar bastante com os esforços dos alunos, professores e de toda a equipe da instituição. Eu tenho boas expectativas de que teremos um período de aprendizagem proveitoso.","I think even with all the difficulty that can appear during remote education, will give to enjoy a lot with the students' efforts, teachers and all the institution's team.I have good expectations that we will have a profitable learning period."
"No momento de pandemia, o ensino remoto não é completo como o ensino presencial, mas está sendo muito importante para a continuação do curso.","At the time of pandemic, remote teaching is not complete as face-to-face education, but is being very important for the continuation of the course."
"O ensino remoto hoje está sendo um desafio com as dificuldade que existe entre elas está o acesso a internet  , quipamento eletrônico  e falta da presença dos professores que é o mais importante para no ausiliar com as dúvidas que surge devido as dificuldades no ensino.","Remote teaching today is being a challenge with the difficulty that exists between them is access to the Internet, electronic downtime and lack of the presence of teachers who are the most important for in the absuria with doubts that the difficulties in teaching arises."
