Relatos,Relatos_Traduzidos,Relatos_tokenizados,Relatos_Traduzidos_Lematizados,Relatos_com_SentiStrength
"Espero que o ensino seja muito proveitoso, e que possamos aprender muitas coisas. ","I hope that teaching is very fruitful, and that we can learn many things.",i hope teaching fruitful learn many things ,i hope teaching fruitful learn many things ,2
"Acredito que será uma experiência mais que satisfatória, na qual todos irão sair da sua zona de conforto e experimentar o ensino a distância de uma maneira bem didática e dinâmica. ","I believe it will be a more than satisfactory experience, in which everyone will come out of their comfort zone and experience distance learning in a very didactic and dynamic way.",i believe satisfactory experience everyone come comfort zone experience distance learning didactic dynamic way ,i believe satisfactory experience everyone come comfort zone experience distance learning didactic dynamic way ,1
"Apesar de algumas dificuldades que alguns alunos vão enfrentar, por falta de acesso a internet e também por que é muita novidade, principalmente para quem não tem muita prática, vai ser desafiador.","Despite some difficulties that some students will face, due to lack of internet access and also because it is much novelty, especially for those who do not have much practice, will be challenging.",despite difficulties students face due lack internet access also much novelty especially much practice challenging ,despite difficulties students face due lack internet access also much novelty especially much practice challenging ,-1
" As minhas expectativas para esta modalidade de ensino ainda são bem confusas, porém acredito que será ótimo para os alunos e professores apesar de não termos os benefícios das aulas presenciais.","My expectations for this teaching mode are still very confusing, but I believe it will be great for students and teachers although we do not have the benefits of face-to-face classes.",my expectations teaching mode still confusing i believe great students teachers although benefits classes ,my expectations teaching mode still confusing i believe great students teachers although benefits classes ,1
"No entanto, esse ano esperamos  que  o aluno seja mais  priorizado,  atendendo  algumas  necessidades as quais  tivemos  que  nós  adptar, devido  às restrições  física. E só  assim  encontraremos  um método  que possa  amenizar  a vida do educando, para que  tenhamos  uma  autonomia  respeitando a desigualdade social de cada um.","However, this year we hope the student is more prioritized, serving some needs which we had to advertise, due to physical restrictions.And only then will we find a method that can soften the life of the student, so that we have an autonomy respecting the social inequality of each.",however year hope student prioritized serving needs advertise due physical find method soften life student autonomy respecting social inequality ,however year hope student prioritized serving needs advertise due physical find method soften life student autonomy respecting social inequality ,1
"O seguinte relato visa avaliar o desenvolvimento do aluno em relação às aprendizagens e as participações nas aulas remotas. Devidas as atuais necessidades impostas pelo isolamento social que se encontra toda a comunidade escolar, faz se necessário que a avaliação seja feita através da observação do desempenho do aluno nos exercícios e nas interações das aulas remotas sincronicas e  assíncronas  pelo professor. Além das feituras das atividades e devolutivas das mesmas. eu acredito que presencial e melhor mais essa foi a melhor forma de não perde o ano porque  ningúem sabe ate quando esta doença vai para espero que no proximo ano tudo volte ao normal mas vamos buscar conhecimento e seguir em frente os professores estão fazendo a parte deles e agente faz a nossa","The following report aims to evaluate student development in relation to learning and holdings in remote lessons.The current needs imposed by social isolation is all the whole school community, it is necessary for the evaluation to be done by observing the student's performance in the exercises and interactions of the synchronous and asynchronous remote classes by the teacher.In addition to the involvement of the activities and returns of them.I believe that face-to-face and better this was the best way to lose the year because ninguem knows until when this disease goes to hope that next year everything goes back to normal but we will seek knowledge and move on the teachers are doing the part of themand agent does our",the following report aims evaluate student development relation learning holdings remote current needs imposed social isolation whole school community necessary evaluation done observing student performance exercises interactions synchronous asynchronous remote classes addition involvement activities returns believe better best way lose year ninguem knows disease goes hope next year everything goes back normal seek knowledge move teachers part themand agent ,the following report aims evaluate student development relation learning holdings remote current needs imposed social isolation whole school community necessary evaluation done observing student performance exercises interactions synchronous asynchronous remote classes addition involvement activities returns believe better best way lose year ninguem knows disease goes hope next year everything goes back normal seek knowledge move teachers part themand agent ,0
"Nas atividades remotas são uma forma de minimizar as consequências da pandemia na área da educação. Dessa forma, muitos professores e alunos não possuem as ferramentas básicos, para tal ensino o que diminui muito aprendizagem.","In remote activities are a way to minimize the consequences of the pandemic in the area of education.In this way, many teachers and students do not have basic tools, for such teaching which decreases a lot of learning.",in remote activities way minimize consequences pandemic area way many teachers students basic tools teaching decreases lot learning ,in remote activities way minimize consequences pandemic area way many teachers students basic tools teaching decreases lot learning ,0
"No geral, não considero o ensino remoto um método de aprendizagem excelente, porém entendo sua necessidade no contexto de distanciamento social. Como medida emergencial, serve bem ao seu propósito, mas particularmente, não sinto vontade de utilizar o ensino remoto durante o meu curso inteiro. Quanto mais rápido o ensino presencial voltar melhor seria para mim.","Overall, I do not consider remote education a method of excellent learning, but I understand its need in the context of social detachment.As an emergency measure, it serves well for your purpose, but particularly, I do not feel like using remote education during my entire course.The faster the face-to-face teaching will be better for me.",overall i consider remote education method excellent learning i understand need context social emergency measure serves well purpose particularly i feel like using remote education entire faster teaching better ,overall i consider remote education method excellent learning i understand need context social emergency measure serves well purpose particularly i feel like using remote education entire faster teaching better ,2
Não tenho muita expectativa.,I do not expect much expectation.,i expect much expectation ,i expect much expectation ,0
"Minhas espectativas são muitos boas , já tive aula remota nos anos passados, não tive nenhum problema com nenhuma matéria.","My expectations are very good, I already had a remote class in the past years, I had no problem with no matter.",my expectations good i already remote class past years i problem matter ,my expectations good i already remote class past years i problem matter ,0
"Espero adquirir conhecimento na área do curso escolhido, ter uma interação entre professor e aluno e que o curso venha a contribuir com minha formação profissional. ","I hope to acquire knowledge in the course of the course chosen, have an interaction between teacher and student and that the course will contribute to my professional training.",i hope acquire knowledge course course chosen interaction teacher student course contribute professional training ,i hope acquire knowledge course course chosen interaction teacher student course contribute professional training ,2
"Espero um ano bom, produtivo e sereno, que eu adquira muito conhecimento sobre meu Campus e curso, além de me dar bem com colegas e professores.","I hope a good year, productive and serene, that I get a lot of knowledge about my campus and course, besides getting good with colleagues and teachers.",i hope good year productive serene i get lot knowledge campus course besides getting good colleagues teachers ,i hope good year productive serene i get lot knowledge campus course besides getting good colleagues teachers ,2
"Minha expectativa não é das melhores, já que nos estamos nos conhecendo via internet, dificultando vim pouco a nossa comunicação. Por isso a expectativa não é boa","My expectation is not the best, since we are meeting ourselves via the internet, making it difficult for our communication.So expectation is not good",my expectation best since meeting via internet making difficult expectation good ,my expectation best since meeting via internet making difficult expectation good ,0
"Tenho esperado que seja de fácil compreensão em relação com o uso da plataforma. Sinto-me um pouco inseguro ao usar ferramentas complexas como o suap. Espero me adequar com facilidade e desejo uma simplicidade e atenção em relação a explicação sobre o uso das plataformas com o decorrer do tempo. Além disso, espero sempre contar com a ajuda de um contado, por exemplo, que possa tirar dúvidas que possam surgir posteriormente.","I have expected that it is easy to understand in relation to the use of the platform.I feel a little insecure when using complex tools like SUAP.I hope to fit easily and desire simplicity and attention in relation to the explanation of the use of platforms over time.In addition, I always hope to rely on the help of a count, for example, that you can ask questions that may arise later.",i expected easy understand relation use feel little insecure using complex tools like hope fit easily desire simplicity attention relation explanation use platforms addition i always hope rely help count example ask questions may arise later ,i expected easy understand relation use feel little insecure using complex tools like hope fit easily desire simplicity attention relation explanation use platforms addition i always hope rely help count example ask questions may arise later ,1
" 
     Me sinto triste neste periodo de isolamento social, pois não posso frequentar alguns lugares,como o próprio IFPB. Entretanto mantenho como expectativas aprender e ampliar os meus conhecimentos,durante esse período de ensino remoto. Apesar desse modelo de ensino nos manter seguros em relação à pandemia, ele também pode prejudicar no desenvolvimento dos estudantes, pois muitos deles não possuem ou não sabem manusear aparelhos tecnológicos. Mesmo diante desse momento de tantas adversidades,acredito que tudo voltará à normalidade.","I feel sad in this period of social isolation, because I can not attend some places, like IFPB itself.However, I maintain as expectations to learn and expand my knowledge during this period of remote.Despite this model of teaching to keep us safe in relation to the pandemic, it can also harm in the development of students, since many of them do not have or do not know how to handle technological devices.Even before this moment of so many adversities, I believe that everything will return to normality.",i feel sad period social isolation i attend places like ifpb i maintain expectations learn expand knowledge period model teaching keep us safe relation pandemic also harm development students since many know handle technological moment many adversities i believe everything return normality ,i feel sad period social isolation i attend places like ifpb i maintain expectations learn expand knowledge period model teaching keep us safe relation pandemic also harm development students since many know handle technological moment many adversities i believe everything return normality ,-2
"As expectativas são muitas, divididas entre otimistas e pessimistas, sendo que, de um lado estou cheia de curiosidade sobre as disciplinas, professores, método educacional usado pela instituição, por outro lado, me sinto nervosa com o ensino remoto, tenho medo de não absorver o conteúdo como deveria.","Expectations are many, divided between optimists and pessimists, and, on one side I am full of curiosity about the disciplines, teachers, educational method used by the institution, on the other hand, I feel nervous with remote education, I am afraid of not absorbThe content as it should.",expectations many divided optimists pessimists one side i full curiosity disciplines teachers educational method used institution hand i feel nervous remote education i afraid absorbthe content ,expectations many divided optimists pessimists one side i full curiosity disciplines teachers educational method used institution hand i feel nervous remote education i afraid absorbthe content ,-3
"    O ensino remoto deve se adequar a realidade do aluno, fornecendo acessibilidade, utilidade e contribuindo com o bom desenvolvimento acadêmico e de conhecimentos. Os professores que administram as salas virtuais devem prestar amparo ao aluno e procurar induzi-lo ao bom desfrute dos meios que tem a disposição para estudar.
    As atividades de ensino remoto são necessárias para que se continue a jornada acadêmica tendo em vista que a atual situação do país em meio à pandemia é crítica, assim, impossibilitando a presencialidade na instituição.","Remote education should suit the reality of the student, providing accessibility, utility and contributing to good academic development and knowledge.Teachers who administer virtual rooms should pay support to the student and seek to induce it to the good enjoyment of the means they have the willingness to study.
    Remote activities are necessary for the academic journey to continue that the current situation in the country amid the pandemic is thus impossible for the presence of the institution.",remote education suit reality student providing accessibility utility contributing good academic development administer virtual rooms pay support student seek induce good enjoyment means willingness study remote activities necessary academic journey continue current situation country amid pandemic thus impossible presence institution ,remote education suit reality student providing accessibility utility contributing good academic development administer virtual rooms pay support student seek induce good enjoyment means willingness study remote activities necessary academic journey continue current situation country amid pandemic thus impossible presence institution ,2
"Bom, eu acredito que não vou ter problema, pois, já venho de quase um ano de ensino remoto, e consegui compreender bem as aulas,  mas é de se esperar que o ensino remoto venha acompanhado de várias dificuldades, em questão da distância entre os docentes e discentes da instituição, mas é algo que com paciência e interação, será bem resolvido.","Well, I believe I will not have a problem, because I already come from almost a year of remote education, and I could understand classes well, but remote education is to be expected to accompany various difficulties, in question of the distance between theteachers and students of the institution, but it is something that with patience and interaction will be well solved.",well i believe i problem i already come almost year remote education i could understand classes well remote education expected accompany various difficulties question distance theteachers students institution something patience interaction well solved ,well i believe i problem i already come almost year remote education i could understand classes well remote education expected accompany various difficulties question distance theteachers students institution something patience interaction well solved ,-1
"Bom, como graduada, entendo a importância do contato direto com a instituição e todos que fazem parte da mesma para a formação de um profissional. No entanto, no que diz respeito a nova conjuntura adotada pelas instituições de ensino em seus diferentes níveis para dar continuidade ao processo de ensino-aprendizagem em caráter remoto que tem como base o uso das tecnologias de informação e comunicação durante este difícil período que assola o País e o mundo, ainda é um campo o qual estou me familiarizando. 
Diante do exposto, com foco no alcance dos objetivos e metas estabelecidos neste primeiro momento, se faz necessário o desenvolvimento de metodologias e utilização de ferramentas que possam atender as diferentes realidades apresentadas e suas peculiaridades, além de, estimular os indivíduos envolvidos a manterem a busca e disciplina em um ritmo constante. O ensino remoto implica em um processo de reflexão e tomada de decisões para trabalhar as suas limitações e atender a todos. ","Well, as a graduate, I understand the importance of direct contact with the institution and all that are part of it for the formation of a professional. However, with regard to the new situation adopted by educational institutions at their different levels to continue the teaching-learning process on a remote teaching that is based on the use of information and communication technologies during this difficult period that plagues the Country and the world, it is still a field that I am familiar with.
In view of the exposed, focusing on the achievement of the objectives and goals established at the first, if it is necessary to develop methodologies and use of tools that can meet the different realities presented and their peculiarities, in addition to stimulating the individuals involved to maintain the and discipline at a constant pace. Remote teaching implies a process of reflection and making decisions to work their limitations and meet everyone.",well graduate i understand importance direct contact institution part formation professional however regard new situation adopted educational institutions different levels continue process remote teaching based use information communication technologies difficult period plagues country world still field i familiar in view exposed focusing achievement objectives goals established first necessary develop methodologies use tools meet different realities presented peculiarities addition stimulating individuals involved maintain discipline constant pace remote teaching implies process reflection making decisions work limitations meet everyone ,well graduate i understand importance direct contact institution part formation professional however regard new situation adopted educational institutions different levels continue process remote teaching based use information communication technologies difficult period plagues country world still field i familiar in view exposed focusing achievement objectives goals established first necessary develop methodologies use tools meet different realities presented peculiarities addition stimulating individuals involved maintain discipline constant pace remote teaching implies process reflection making decisions work limitations meet everyone ,-1
"O ensino remoto é uma forma de passa conteúdos e infomaçoes aos discentes nesse periodo de pandemia. Espero aproveita o maximo desse ferramentas digitais ofericidas pelo ifpb- cz, apesar de não ser um ensino presencial , mas confio que todos  do meio academico passara uma apredizagem otima ! ","Remote teaching is a form of passing contents and infomations to the students in this pandemic period.I hope it takes advantage of the maximum of this digital tools offered by IFPBRCZ, although it is not a face-to-face teaching, but I trust that all of the academic environment had passed a great learning!",remote teaching form passing contents infomations students pandemic hope takes advantage maximum digital tools offered ifpbrcz although teaching i trust academic environment passed great learning ,remote teaching form passing contents infomations students pandemic hope takes advantage maximum digital tools offered ifpbrcz although teaching i trust academic environment passed great learning ,2
"     As expectativas nesse ensino digital, e para uma aprendizagem  excelente, na qual aja debates entre alunos e professores  por ferramentas específicas, para que os estudantes possa aprender e aprofundar mais nos conteúdos disponibilizados  pelos professores.  ","Expectations in Digital Teaching, and for excellent learning, in which you act debates between students and teachers by specific tools, so that students can learn and deepen more in the contents made available by teachers.",expectations digital teaching excellent learning act debates students teachers specific tools students learn deepen contents made available teachers ,expectations digital teaching excellent learning act debates students teachers specific tools students learn deepen contents made available teachers ,3
"O ensino remoto nos oferece duas formas de olhar para ele: com maus olhos ou com uma perspectiva de futuro. Quando falamos de ensino à distância , muitos já se reclamam e usam disso como desculpa para abandonar os estudos. Porém, devemos seguir de cabeça erguida já que o Ensino Remoto uniu alunos e professores mesmo que distantes um dos outros. Minha expectativa é que a tecnologia continue nos ajudando cada vez mais!","Remote teaching offers us two ways to look at him: with bad eyes or with a perspective of future.When we speak of distance learning, many already complain and use it as an excuse to abandon studies.However, we must head up with an erected head since remote education has united students and teachers even though distant one of the others.My expectation is that technology keeps helping us more and more!",remote teaching offers us two ways look bad eyes perspective speak distance learning many already complain use excuse abandon must head erected head since remote education united students teachers even though distant one expectation technology keeps helping us ,remote teaching offers us two ways look bad eyes perspective speak distance learning many already complain use excuse abandon must head erected head since remote education united students teachers even though distant one expectation technology keeps helping us ,-1
" As expectativas tornam-se altas a cada explicação e exercícios repassados, é um ensino diferente do que nós estamos acostumados, também pode levar um pouco de tempo para o aprendizado e a prática, mas estamos aqui pra viver novas experiências e dar sempre o melhor de se pra conseguir desenvolver bem nesse novo método de ensino.","Expectations become high with each explanation and exercises passed, it is a different teaching than we are accustomed, can also take a little time for learning and practice, but we are here to live new experiences and always give the bestIf to be able to develop well in this new teaching method.",expectations become high explanation exercises passed different teaching accustomed also take little time learning practice live new experiences always give bestif able develop well new teaching method ,expectations become high explanation exercises passed different teaching accustomed also take little time learning practice live new experiences always give bestif able develop well new teaching method ,-1
"Minhas expectativas são muitos boas, e sei que me darei muito bem. Não é a mesma coisa que presencial, tirando isso está tudo ótimo!","My expectations are very good, and I know I'll give myself very well.It's not the same as face-to-face, taking it all great!",my expectations good i know i give taking great ,my expectations good i know i give taking great ,2
"O ensino remoto é um pouco complicado pois nem todo mundo tem acesso a internet de boa qualidade, os mesmos muitas vezes não sabem usar os meios de comunicação com professores e mestres que precisam trocar informações e extrair o melhor daqueles de ali estão ali para aprender... 
Devido aos novos tempos devemos se adaptar aos meios de comunicação como o classroom e ao google meet que são os meios mais utilizados para o contato do professor com o aluno. com um futuro próximo espero que as vacinas cheguem aos alunos e professores com mais rapidez e que as coisas voltem as normalidades.","Remote education is a bit complicated because not everyone has good quality Internet access, they often do not know how to use the media with teachers and teachers who need to exchange information and extract the best of those from there are there to learn...
Due to the new times we should adapt to the media as classroom and Google Meet that are the most commonly used means for the teacher's contact with the student.With a near future I hope the vaccines reach students and teachers faster and that things come back to normal.",remote education bit complicated everyone good quality internet access often know use media teachers teachers need exchange information extract best learn due new times adapt media classroom google meet commonly used means teacher contact near future i hope vaccines reach students teachers faster things come back normal ,remote education bit complicated everyone good quality internet access often know use media teachers teachers need exchange information extract best learn due new times adapt media classroom google meet commonly used means teacher contact near future i hope vaccines reach students teachers faster things come back normal ,1
"Diante da situação atual em que vivemos, o ensino remoto tornou-se mais que uma opção, mas sim uma imposição. Infelizmente somos direcionados a essa forma de ensino como única maneira de desenvolver nosso aprendizado nesse período. Prós e contras farão parte do dia-a-dia, os imprevistos, o desvio da atenção, a dificuldade em tirar dúvidas, mas também teremos o desenvolvimento da nossa capacidade de lidar com as tecnologias nesse tempo. Esperamos que seja um período breve e transitório que represente a marca e a força de vontade dos estudantes de continuar buscando um futuro mesmo em meio a um tempo de pandemia.","Faced with the current situation in which we live, remote teaching has become more than an option, but an imposition.Unfortunately we are directed at this form of teaching as the only way to develop our learning in this period.Pros and Cons will part of the day-to-day, the unforeseen, the deviation of attention, the difficulty in taking doubts, but we will also have the development of our ability to deal with technologies at that time.We hope it is a brief and transitory period that represents the brand and the willpower of the students to continue seeking a future even in the midst of a time of pandemic.",faced current situation live remote teaching become option directed form teaching way develop learning cons part unforeseen deviation attention difficulty taking doubts also development ability deal technologies hope brief transitory period represents brand willpower students continue seeking future even midst time pandemic ,faced current situation live remote teaching become option directed form teaching way develop learning cons part unforeseen deviation attention difficulty taking doubts also development ability deal technologies hope brief transitory period represents brand willpower students continue seeking future even midst time pandemic ,1
Um pouco apreensivo e um pouco preocupado...,A bit apprehensive and a little worried ...,a bit apprehensive little worried ,a bit apprehensive little worried ,-3
"Dentre as minhas expectativas estão o aprendizado onde espero uma facilidade de compreensão,acesso as aulas remotas e realização de atividades, além da melhor fluidez possível de ensino dos professores aos alunos, juntamente com a ajuda através de seu suporte com fins de ajudar aos alunos na realização de ","Among my expectations are the learning where I expect an ease of understanding, access to remote classes and activities, in addition to the best possible teaching fluidity of teachers to students, together with the help through their support for students inaccomplishment of",among expectations learning i expect ease understanding access remote classes activities addition best possible teaching fluidity teachers students together help support students inaccomplishment ,among expectations learning i expect ease understanding access remote classes activities addition best possible teaching fluidity teachers students together help support students inaccomplishment ,1
"Acredito que como sou da área de TI, o ensino remoto não será tão debilitante, então tenho ótimas expectativas e estou bastante empolgado com o curso, mas preferia aula presencial obviamente como a grande maioria. Acredito que o IF possui profissionais preparados para lidar com o ensino remoto e tenho ótimas expectativas para as aulas.","I believe that as I am from the IT area, remote teaching will not be so debilitating, so I have great expectations and I am quite excited about the course, but preferred classroom class of obviously like the vast majority.I believe that IF has professionals prepared to deal with remote education and have great expectations for classes.",i believe i it area remote teaching debilitating i great expectations i quite excited course preferred classroom class obviously like vast believe if professionals prepared deal remote education great expectations classes ,i believe i it area remote teaching debilitating i great expectations i quite excited course preferred classroom class obviously like vast believe if professionals prepared deal remote education great expectations classes ,2
"Já estou ambientado ao ensino remoto, pois cursei a maioria do meu terceiro ano do ensino médio nesse formato. Sinto que a carga de responsabilidade sobre o aluno nesse formato seja ainda maior do que no formato presencial, pois é exigido do aluno mais responsabilidade tanto na atenção às aulas por videoconferência como nas atividades passadas pelo professor. Minha expectativa é que as atividades não presencias sejam o mais breve possível e que quando forem utilizadas sejam por escolha e não como única opção viável em decorrência do cenário pandêmico.","I am already set to remote education, because I attended the majority of my third year of high school in this format.I feel that the responsibility load on the student in this format is even greater than in the face-to-face format, since it is required of the student more responsibility in both attention to videoconferencing classes as in the activities passed by by the teacher.My expectation is that non-presence activities are as soon as possible and that when they are used to be by choice and not as a single viable option as a result of the pandemic scenario.",i already set remote education i attended majority third year high school feel responsibility load student format even greater format since required student responsibility attention videoconferencing classes activities passed expectation activities soon possible used choice single viable option result pandemic scenario ,i already set remote education i attended majority third year high school feel responsibility load student format even greater format since required student responsibility attention videoconferencing classes activities passed expectation activities soon possible used choice single viable option result pandemic scenario ,2
Eu espero conseguir aprender o máximo que eu puder com esse novo ensino digital ,I hope to learn as much as I can with this new digital teaching,i hope learn much i new digital teaching ,i hope learn much i new digital teaching ,2
"Para o ano letivo de 2021, apesar de ainda estarmos utilizando o ensino remoto devido a pandemia de Covid-19, eu espero aprender muitas coisas novas tanto na área do meu curso quanto na área de conhecimentos gerais.
      Sei que se me esforçar posso aprender no ensino remoto tanto quanto aprendi no ensino presencial, espero conhecer melhor e fazer amizade com meu novos colegas e assim, fazer de 2021 um ano letivo tão bom quanto os anteriores.
","For the 2021 school year, although we are still using remote education because of Covid-19 pandemic, I hope to learn many new things both in the area of my course and in the area of general knowledge.
      I know that if I strive I can learn in remote education as much as I have learned in the face-to-face teaching, I hope to get to know better and make friends with my new colleagues and so, make 2021 a school year as good as the previous ones.",for school year although still using remote education pandemic i hope learn many new things area course area general knowledge i know i strive i learn remote education much i learned teaching i hope get know better make friends new colleagues make school year good previous ones ,for school year although still using remote education pandemic i hope learn many new things area course area general knowledge i know i strive i learn remote education much i learned teaching i hope get know better make friends new colleagues make school year good previous ones ,2
"Espero aprender muito,para exercer a minha profissão.as atividades se tornam mais difícil,pois não tem a presença de um professor para tirar todas as suas dúvidas.","I hope to learn a lot, to exercise my profession. The activities become more difficult because it does not have the presence of a teacher to take all your doubts.",i hope learn lot exercise profession the activities become difficult presence teacher take doubts ,i hope learn lot exercise profession the activities become difficult presence teacher take doubts ,1
"Espero q seja fácil, pq tem muitos professores q coloca muita atividade e as vezes não dar para fazer tudo em só um dia. Q as aulas sejam boas.","I hope it's easy, because there are many teachers who put a lot of activity and sometimes I can not do everything in just one day.Q Classes are good.",i hope easy many teachers put lot activity sometimes i everything one classes good ,i hope easy many teachers put lot activity sometimes i everything one classes good ,2
"       Para mim, não é fácil o ensino a distância, pois não se pode comparar ao ensino presencial em que o professor estará lá com você para te ensinar, te guiar e tirar todas as suas dúvidas no mesmo momento sem ter que enfrentar possíveis problemas com o funcionamento da internet.
     Apenas espero que mesmo com todas as dificuldades que se desenvolverão ao logo do período de aulas remotas, possamos todos nós alunos e professores progredirmos ainda mais com o passar do tempo! Aprender uns com os outros, respeitar as nossas diferenças que nos tornam únicos e sempre nos ajudarmos no que que for preciso.","For me, no distance teaching is not easy because it can not be compared to face-to-face teaching in which the teacher will be there with you to teach you, guide you and take all your doubts at the same time without having to face possible problems withInternet operation.
     I just hope that even with all the difficulties that will develop to the Logo of the Remote Time, we all have students and teachers to progress even more with the passage of time!Learn from each other, respect our differences that make us unique and always help us in whatever it takes.",for distance teaching easy compared teaching teacher teach guide take doubts time without face possible problems withinternet operation i hope even difficulties develop logo remote time students teachers progress even passage time learn respect differences make us unique always help us whatever takes ,for distance teaching easy compared teaching teacher teach guide take doubts time without face possible problems withinternet operation i hope even difficulties develop logo remote time students teachers progress even passage time learn respect differences make us unique always help us whatever takes ,1
"O ensino remoto tem sido bastante importante nesse período pois está nos permitindo dar continuidade aos estudos, porém não está sendo tão proveitoso, pois em casa fica muito complicado de manter o foco e participar ativamente das aulas.","Remote teaching has been quite important in this period because it is allowing us to continue studies, but it is not being as profitable, because at home it is very complicated to maintain focus and actively participate in class.",remote teaching quite important period allowing us continue studies profitable home complicated maintain focus actively participate class ,remote teaching quite important period allowing us continue studies profitable home complicated maintain focus actively participate class ,0
"Quanto ao ensino remoto, visto que uma boa parte do curso é voltada para o desenvolvimento de programas e o uso de dispositivos eletrônicos, tenho expectativa de que o curso apesar de distante ainda possa oferecer uma grande capacidade de aprendizado e não se torne muito difícil a obtenção dos conhecimentos necessários para o desenvolvimento como estudante.","As for remote education, since a good part of the course is focused on the development of programs and the use of electronic devices, I have anticipation that the course although distant can still offer a great learning capacity and does not become very difficult toobtaining the knowledge required for development as a student.",as remote education since good part course focused development programs use electronic devices i anticipation course although distant still offer great learning capacity become difficult toobtaining knowledge required development student ,as remote education since good part course focused development programs use electronic devices i anticipation course although distant still offer great learning capacity become difficult toobtaining knowledge required development student ,1
"Como um aluno recém concluinte de um ensino médio que foi interrompido pela quarentena e reformulado de forma forçada ao ensino remoto, eu entendo que a modalidade tem limitações especialmente pela falta de maior preparação dos professores (que foram tão prejudicados quanto os alunos), falta de uma socialização mais física e problemas de adaptação do espaço de estudo. Em vista desses problemas, espero uma maior organização quanto ao fluxo de atividades e metodologias, que ao meu ver, devem ser sim reavaliadas para o melhor entendimento do aluno nessa modalidade de ensino e para evitar uma sobrecarga. Além disso, espero também uma relação mais empática entre professores e alunos, vinda de ambos os lados, com um entendimento dos problemas que cada um enfrenta. Minha opinião sobre a modalidade, no geral, é que apesar do ensino remoto ter certas vantagens, o ensino presencial ainda é ideal para esse tipo de curso. Porém, o ensino presencial NÃO deve ser reaplicado até a garantia de segurança de todos.","As a newly completed student of a high school that was interrupted by quarantine and forced to be forced to remote education, I understand that the modality has limitations especially for the lack of greater preparation of teachers (who were as harmed as students), lack of a more physical socialization and problems of adapting study space. In view of these problems, I expect a greater organization regarding the flow of activities and methodologies, which in my view should be reassessed for the best understanding of the student in this teaching modality and to avoid an overload. In addition, I also expect a more empathical relationship between teachers and students, coming from both sides, with an understanding of the problems each one faces. My opinion on the modality, in general, is that despite remote education having certain advantages, face-to-face teaching is still ideal for this type of course. However, face-to-face teaching should not be reapplied until the security guarantee of all.",as newly completed student high school interrupted quarantine forced forced remote education i understand modality limitations especially lack greater preparation teachers harmed students lack physical socialization problems adapting study space in view problems i expect greater organization regarding flow activities methodologies view reassessed best understanding student teaching modality avoid overload in addition i also expect empathical relationship teachers students coming sides understanding problems one faces my opinion modality general despite remote education certain advantages teaching still ideal type course however teaching reapplied security guarantee ,as newly completed student high school interrupted quarantine forced forced remote education i understand modality limitations especially lack greater preparation teachers harmed students lack physical socialization problems adapting study space in view problems i expect greater organization regarding flow activities methodologies view reassessed best understanding student teaching modality avoid overload in addition i also expect empathical relationship teachers students coming sides understanding problems one faces my opinion modality general despite remote education certain advantages teaching still ideal type course however teaching reapplied security guarantee ,0
"       Estamos vivenciando este período remoto desde o ano passado, com muita dificuldade por conta das diversas ferramentas e principalmente a falha na internet que tira nossa paciência e ainda traz estresse. Portanto, devemos ter calma porque é a única forma que possuímos para estudar e com a ajudar de nossos colegas e dos professores vamos chegar ao término desse curso.
      Ao terminar esse curso espero ter obtido muitos conhecimentos e habilidades para da melhor forma repassar aos meus futuros alunos e contribuir no que for preciso com meus colegas futuros professores.","We are experiencing this remote period since last year, with great difficulty because of the various tools and especially the Internet failure that takes our patience and still brings stress.Therefore, we must be calm because it is the only way we have to study and with the help of our colleagues and teachers we will reach the end of this course.
      By finishing this course I hope I have obtained many skills and skills for the best way to pass on to my future students and contribute in what I need with my future teachers colleagues.",we experiencing remote period since last year great difficulty various tools especially internet failure takes patience still brings must calm way study help colleagues teachers reach end course by finishing course i hope i obtained many skills skills best way pass future students contribute i need future teachers colleagues ,we experiencing remote period since last year great difficulty various tools especially internet failure takes patience still brings must calm way study help colleagues teachers reach end course by finishing course i hope i obtained many skills skills best way pass future students contribute i need future teachers colleagues ,0
"  Eu procuro manter minhas expectativas altas, penso que em meio a uma pandemia o ensino a distância seja o mais adequado, pois mesmo que não se compare as aulas presenciais, sabemos que este é sim um meio de ensino eficaz.
   Para ser sincero tenho certas dificuldades com o ensino a distância , pois muitas das vezes o ambiente de sala de aula nos traz um conforto, e uma proximidade maior com os alunos e professores,  por exemplo quando queremos tirar alguma dúvida, e me sinto um pouco inseguro de perguntar,mesmo que seja para esclarecer tal questão.
","I try to keep my expectations high, I think that in the midst of a pandemic distance teaching is the most appropriate, because even if visiting classes are not compared, we know that this is a means of effective teaching.
   To be honest I have certain difficulties with distance learning, because many times the classroom environment brings us comfort, and a greater proximity with students and teachers, for example when we want to take any questions, and I feel a littleinsecure to ask, even if it is to clarify such a question.",i try keep expectations high i think midst pandemic distance teaching appropriate even visiting classes compared know means effective teaching to honest i certain difficulties distance learning many times classroom environment brings us comfort greater proximity students teachers example want take questions i feel littleinsecure ask even clarify question ,i try keep expectations high i think midst pandemic distance teaching appropriate even visiting classes compared know means effective teaching to honest i certain difficulties distance learning many times classroom environment brings us comfort greater proximity students teachers example want take questions i feel littleinsecure ask even clarify question ,1
